relation,relation_id
http://www.wikidata.org/prop/direct/P84,307
http://www.wikidata.org/prop/direct/P8402,308
http://www.wikidata.org/prop/direct/P85,309
http://www.wikidata.org/prop/direct/P8571,310
http://www.wikidata.org/prop/direct/P859,311
http://www.wikidata.org/prop/direct/P8625,312
http://www.wikidata.org/prop/direct/P868,313
http://www.wikidata.org/prop/direct/P8693,314
http://www.wikidata.org/prop/direct/P8744,315
http://www.wikidata.org/prop/direct/P8933,316
http://www.wikidata.org/prop/direct/P8989,317
http://www.wikidata.org/prop/direct/P91,318
http://www.wikidata.org/prop/direct/P910,319
http://www.wikidata.org/prop/direct/P912,320
http://www.wikidata.org/prop/direct/P92,321
http://www.wikidata.org/prop/direct/P921,322
http://www.wikidata.org/prop/direct/P9239,323
http://www.wikidata.org/prop/direct/P9241,324
http://www.wikidata.org/prop/direct/P937,325
http://www.wikidata.org/prop/direct/P941,326
http://www.wikidata.org/prop/direct/P9493,327
http://www.wikidata.org/prop/direct/P98,328
http://www.wikidata.org/prop/direct/P9969,329
