private_entity,external_uri,wikidata_uri,wikidata_qid,matched_label,description,confidence,conversion_status
the UK BIM Alliance,,,,the UK BIM Alliance,,0.0,not_converted
the UK BIM Alliance[a,,,,the UK BIM Alliance[a,,0.0,not_converted
the UK BIM Framework,,,,the UK BIM Framework,,0.0,not_converted
the UK Government,,,,the UK Government,,0.0,not_converted
the United Kingdom,,,,the United Kingdom,,0.0,not_converted
the United Nations Development Programme,,,,the United Nations Development Programme,,0.0,not_converted
the United States Department of Transportation.[21,,,,the United States Department of Transportation.[21,,0.0,not_converted
the University of Groningen,,,,the University of Groningen,,0.0,not_converted
the University of Hong Kong,,,,the University of Hong Kong,,0.0,not_converted
the University of Illinois at Chicago,,,,the University of Illinois at Chicago,,0.0,not_converted
the University of Leeds,,,,the University of Leeds,,0.0,not_converted
the University of New South Wales,,,,the University of New South Wales,,0.0,not_converted
the University of Québec,,,,the University of Québec,,0.0,not_converted
the University of Sydney,,,,the University of Sydney,,0.0,not_converted
the Wayback Machine,,,,the Wayback Machine,,0.0,not_converted
the World Bank,,,,the World Bank,,0.0,not_converted
the World Wide Web,,,,the World Wide Web,,0.0,not_converted
the early 1950s,,,,the early 1950s,,0.0,not_converted
the early 2000s,,,,the early 2000s,,0.0,not_converted
the early days,,,,the early days,,0.0,not_converted
the late 1960s,,,,the late 1960s,,0.0,not_converted
the late 1960s[50,,,,the late 1960s[50,,0.0,not_converted
the late 1970s,,,,the late 1970s,,0.0,not_converted
the late 1980s,,,,the late 1980s,,0.0,not_converted
the late 1990s,,,,the late 1990s,,0.0,not_converted
the mid-1980s,,,,the mid-1980s,,0.0,not_converted
the mid-2010s,,,,the mid-2010s,,0.0,not_converted
the year 2011,,,,the year 2011,,0.0,not_converted
the year 2020,,,,the year 2020,,0.0,not_converted
the ÖNORM A 6241,,,,the ÖNORM A 6241,,0.0,not_converted
today,,,,today,,0.0,not_converted
two to three years,,,,two to three years,,0.0,not_converted
years,,,,years,,0.0,not_converted
« Siemens PLM Software Blog,,,,« Siemens PLM Software Blog,,0.0,not_converted
