private_entity,external_uri,wikidata_uri,wikidata_qid,matched_label,description,confidence,conversion_status
Gordon Plotkin,http://www.wikidata.org/entity/Q967536,http://www.wikidata.org/entity/Q967536,Q967536,Gordon Plotkin,Scottish computer scientist,1.0,converted_or_already_wikidata
Graphisoft,http://www.wikidata.org/entity/Q743588,http://www.wikidata.org/entity/Q743588,Q743588,Graphisoft SE,software company,1.0,converted_or_already_wikidata
Greg Lynn,http://www.wikidata.org/entity/Q513374,http://www.wikidata.org/entity/Q513374,Q513374,Greg Lynn,American architect (born 1964),1.0,converted_or_already_wikidata
Greg Lynn FORM,http://www.wikidata.org/entity/Q117114121,http://www.wikidata.org/entity/Q117114121,Q117114121,Greg Lynn Form,"USA, est. 1994",1.0,converted_or_already_wikidata
Guide to Simulation-Based Disciplines,,,,Guide to Simulation-Based Disciplines,,0.0,not_converted
Gábor Bojár,http://www.wikidata.org/entity/Q5625718,http://www.wikidata.org/entity/Q5625718,Q5625718,Gábor Bojár,Hungarian businessman,1.0,converted_or_already_wikidata
Hamstra,http://www.wikidata.org/entity/Q37044479,http://www.wikidata.org/entity/Q37044479,Q37044479,Hamstra,family name,1.0,converted_or_already_wikidata
Hart,http://www.wikidata.org/entity/Q1587003,http://www.wikidata.org/entity/Q1587003,Q1587003,Hart,family name,1.0,converted_or_already_wikidata
Harvard U,http://www.wikidata.org/entity/Q13371,http://www.wikidata.org/entity/Q13371,Q13371,Harvard University,"private university in Cambridge, Massachusetts",1.0,converted_or_already_wikidata
Helsinki,http://www.wikidata.org/entity/Q1757,http://www.wikidata.org/entity/Q1757,Q1757,Helsinki,capital and most populous city of Finland,1.0,converted_or_already_wikidata
Honeywell,http://www.wikidata.org/entity/Q37147733,http://www.wikidata.org/entity/Q37147733,Q37147733,Honeywell,family name,1.0,converted_or_already_wikidata
Hong Kong,http://www.wikidata.org/entity/Q8646,http://www.wikidata.org/entity/Q8646,Q8646,Hong Kong,city and special administrative region of China,1.0,converted_or_already_wikidata
Huawei,http://www.wikidata.org/entity/Q160120,http://www.wikidata.org/entity/Q160120,Q160120,Huawei,Chinese multinational technology company,1.0,converted_or_already_wikidata
Hyderabad,http://www.wikidata.org/entity/Q1361,http://www.wikidata.org/entity/Q1361,Q1361,Hyderabad,"capital of Telangana, India",1.0,converted_or_already_wikidata
IBIMA,,,,IBIMA,,0.0,not_converted
IBM,,,,IBM,,0.0,not_converted
IDC,,,,IDC,,0.0,not_converted
ISO,,,,ISO,,0.0,not_converted
ITeC,,,,ITeC,,0.0,not_converted
India,http://www.wikidata.org/entity/Q668,http://www.wikidata.org/entity/Q668,Q668,India,country in South Asia,1.0,converted_or_already_wikidata
Infrastructure Australia,http://www.wikidata.org/entity/Q6031535,http://www.wikidata.org/entity/Q6031535,Q6031535,Infrastructure Australia,government project assessment agency,1.0,converted_or_already_wikidata
Innovation,http://www.wikidata.org/entity/Q174165,http://www.wikidata.org/entity/Q174165,Q174165,innovation,"application of better solutions that meet new requirements, inarticulated needs, or existing market needs",1.0,converted_or_already_wikidata
Institute of Standards and Technology,,,,Institute of Standards and Technology,,0.0,not_converted
Intel,http://www.wikidata.org/entity/Q248,http://www.wikidata.org/entity/Q248,Q248,Intel,American multinational technology company,1.0,converted_or_already_wikidata
Iran,http://www.wikidata.org/entity/Q794,http://www.wikidata.org/entity/Q794,Q794,Iran,country in Western Asia,1.0,converted_or_already_wikidata
Ireland,http://www.wikidata.org/entity/Q27,http://www.wikidata.org/entity/Q27,Q27,Ireland,sovereign state in Northwestern Europe,1.0,converted_or_already_wikidata
J.-L. Lassez,,,,J.-L. Lassez,,0.0,not_converted
JIA,,,,JIA,,0.0,not_converted
Jacob van Rijs,http://www.wikidata.org/entity/Q225927,http://www.wikidata.org/entity/Q225927,Q225927,Jacob van Rijs,Dutch architect (born 1964),1.0,converted_or_already_wikidata
January 2013,http://www.wikidata.org/entity/Q1206823,http://www.wikidata.org/entity/Q1206823,Q1206823,January 2013,month of 2013,1.0,converted_or_already_wikidata
January 2017,http://www.wikidata.org/entity/Q20650869,http://www.wikidata.org/entity/Q20650869,Q20650869,January 2017,month of 2017,1.0,converted_or_already_wikidata
January 2019,http://www.wikidata.org/entity/Q46992899,http://www.wikidata.org/entity/Q46992899,Q46992899,January 2019,month of 2019,1.0,converted_or_already_wikidata
"January 9, 2022",http://www.wikidata.org/entity/Q69306299,http://www.wikidata.org/entity/Q69306299,Q69306299,"January 9, 2022",date in Gregorian calendar,1.0,converted_or_already_wikidata
Japan,http://www.wikidata.org/entity/Q17,http://www.wikidata.org/entity/Q17,Q17,Japan,island country in East Asia,1.0,converted_or_already_wikidata
Japan Institute of Architects,http://www.wikidata.org/entity/Q1683375,http://www.wikidata.org/entity/Q1683375,Q1683375,Japan Institute of Architects,Japanese organization for architects,1.0,converted_or_already_wikidata
